mx_message_id,path,parent_path,xml_tag,type,min_occurs,max_occurs,is_attribute,choice_group
pacs.009.001.08,Document/FICdtTrf/CdtTrfTxInf/UndrlygCstmrCdtTrf/IntrmyAgt1Acct/Id/Othr/Id,Document/FICdtTrf/CdtTrfTxInf/UndrlygCstmrCdtTrf/IntrmyAgt1Acct/Id/Othr,Id,Max34Text,0,unbounded,False,
pacs.009.001.08,Document/FICdtTrf/CdtTrfTxInf/UndrlygCstmrCdtTrf/CdtrAgt/FinInstnId/BICFI,Document/FICdtTrf/CdtTrfTxInf/UndrlygCstmrCdtTrf/CdtrAgt/FinInstnId,BICFI,BICFIDec2014Identifier,0,unbounded,False,
pacs.009.001.08,Document/FICdtTrf/CdtTrfTxInf/UndrlygCstmrCdtTrf/CdtrAgt/FinInstnId/ClrSysMmbId/MmbId,Document/FICdtTrf/CdtTrfTxInf/UndrlygCstmrCdtTrf/CdtrAgt/FinInstnId/ClrSysMmbId,MmbId,Max35Text,0,unbounded,False,
pacs.009.001.08,Document/FICdtTrf/CdtTrfTxInf/UndrlygCstmrCdtTrf/CdtrAgt/FinInstnId/Nm,Document/FICdtTrf/CdtTrfTxInf/UndrlygCstmrCdtTrf/CdtrAgt/FinInstnId,Nm,Max140Text,0,unbounded,False,
pacs.009.001.08,Document/FICdtTrf/CdtTrfTxInf/UndrlygCstmrCdtTrf/CdtrAgt/FinInstnId/PstlAdr/AdrLine,Document/FICdtTrf/CdtTrfTxInf/UndrlygCstmrCdtTrf/CdtrAgt/FinInstnId/PstlAdr,AdrLine,Max70Text,0,unbounded,False,
pacs.009.001.08,Document/FICdtTrf/CdtTrfTxInf/UndrlygCstmrCdtTrf/CdtrAgtAcct/Id/IBAN,Document/FICdtTrf/CdtTrfTxInf/UndrlygCstmrCdtTrf/CdtrAgtAcct/Id,IBAN,IBAN2007Identifier,0,unbounded,False,choice-217
pacs.009.001.08,Document/FICdtTrf/CdtTrfTxInf/UndrlygCstmrCdtTrf/CdtrAgtAcct/Id/Othr/Id,Document/FICdtTrf/CdtTrfTxInf/UndrlygCstmrCdtTrf/CdtrAgtAcct/Id/Othr,Id,Max34Text,0,unbounded,False,
pacs.009.001.08,Document/FICdtTrf/CdtTrfTxInf/UndrlygCstmrCdtTrf/Cdtr/Nm,Document/FICdtTrf/CdtTrfTxInf/UndrlygCstmrCdtTrf/Cdtr,Nm,Max140Text,0,unbounded,False,
pacs.009.001.08,Document/FICdtTrf/CdtTrfTxInf/UndrlygCstmrCdtTrf/Cdtr/PstlAdr/AdrLine,Document/FICdtTrf/CdtTrfTxInf/UndrlygCstmrCdtTrf/Cdtr/PstlAdr,AdrLine,Max70Text,0,unbounded,False,
pacs.009.001.08,Document/FICdtTrf/CdtTrfTxInf/UndrlygCstmrCdtTrf/Cdtr/Id/OrgId/AnyBIC,Document/FICdtTrf/CdtTrfTxInf/UndrlygCstmrCdtTrf/Cdtr/Id/OrgId,AnyBIC,AnyBICDec2014Identifier,0,unbounded,False,
pacs.009.001.08,Document/FICdtTrf/CdtTrfTxInf/UndrlygCstmrCdtTrf/CdtrAcct/Id/IBAN,Document/FICdtTrf/CdtTrfTxInf/UndrlygCstmrCdtTrf/CdtrAcct/Id,IBAN,IBAN2007Identifier,0,unbounded,False,choice-225
pacs.009.001.08,Document/FICdtTrf/CdtTrfTxInf/UndrlygCstmrCdtTrf/CdtrAcct/Id/Othr/Id,Document/FICdtTrf/CdtTrfTxInf/UndrlygCstmrCdtTrf/CdtrAcct/Id/Othr,Id,Max34Text,0,unbounded,False,
pacs.009.001.08,Document/FICdtTrf/CdtTrfTxInf/UndrlygCstmrCdtTrf/RmtInf/Ustrd,Document/FICdtTrf/CdtTrfTxInf/UndrlygCstmrCdtTrf/RmtInf,Ustrd,Max140Text,0,unbounded,False,
pacs.009.001.08,Document/FICdtTrf/CdtTrfTxInf/UndrlygCstmrCdtTrf/InstrForNxtAgt/InstrInf,Document/FICdtTrf/CdtTrfTxInf/UndrlygCstmrCdtTrf/InstrForNxtAgt,InstrInf,Max140Text,0,unbounded,False,
pacs.009.001.08,Document/FICdtTrf/CdtTrfTxInf/UndrlygCstmrCdtTrf/InstdAmt,Document/FICdtTrf/CdtTrfTxInf/UndrlygCstmrCdtTrf,InstdAmt,ActiveOrHistoricCurrencyAndAmount,0,unbounded,False,
pacs.009.001.08,Document/FICdtTrf/CdtTrfTxInf/UndrlygCstmrCdtTrf/InstdAmt/@Ccy,Document/FICdtTrf/CdtTrfTxInf/UndrlygCstmrCdtTrf/InstdAmt,@Ccy,ActiveOrHistoricCurrencyCode,1,1,True,
camt.054.001.08,Document/BkToCstmrDbtCdtNtfctn/Ntfctn/Ntry/NtryRef,Document/BkToCstmrDbtCdtNtfctn/Ntfctn/Ntry,NtryRef,Max35Text,0,unbounded,False,
camt.054.001.08,Document/BkToCstmrDbtCdtNtfctn/Ntfctn/Ntry/NtryDtls/TxDtls/Refs/AcctSvcrRef,Document/BkToCstmrDbtCdtNtfctn/Ntfctn/Ntry/NtryDtls/TxDtls/Refs,AcctSvcrRef,Max35Text,0,unbounded,False,
camt.054.001.08,Document/BkToCstmrDbtCdtNtfctn/Ntfctn/Ntry/NtryDtls/TxDtls/Refs/InstrId,Document/BkToCstmrDbtCdtNtfctn/Ntfctn/Ntry/NtryDtls/TxDtls/Refs,InstrId,Max35Text,0,unbounded,False,
camt.054.001.08,Document/BkToCstmrDbtCdtNtfctn/Ntfctn/Ntry/NtryDtls/TxDtls/Refs/EndToEndId,Document/BkToCstmrDbtCdtNtfctn/Ntfctn/Ntry/NtryDtls/TxDtls/Refs,EndToEndId,Max35Text,0,unbounded,False,
camt.054.001.08,Document/BkToCstmrDbtCdtNtfctn/Ntfctn/Ntry/NtryDtls/TxDtls/Refs/TxId,Document/BkToCstmrDbtCdtNtfctn/Ntfctn/Ntry/NtryDtls/TxDtls/Refs,TxId,Max35Text,0,unbounded,False,
camt.054.001.08,Document/BkToCstmrDbtCdtNtfctn/Ntfctn/Acct/Id/IBAN,Document/BkToCstmrDbtCdtNtfctn/Ntfctn/Acct/Id,IBAN,IBAN2007Identifier,0,unbounded,False,choice-7
camt.054.001.08,Document/BkToCstmrDbtCdtNtfctn/Ntfctn/Acct/Id/Othr/Id,Document/BkToCstmrDbtCdtNtfctn/Ntfctn/Acct/Id/Othr,Id,Max34Text,0,unbounded,False,
camt.054.001.08,Document/BkToCstmrDbtCdtNtfctn/Ntfctn/Ntry/BookgDt/DtTm,Document/BkToCstmrDbtCdtNtfctn/Ntfctn/Ntry/BookgDt,DtTm,ISODateTime,0,unbounded,False,choice-29
camt.054.001.08,Document/BkToCstmrDbtCdtNtfctn/Ntfctn/Ntry/ValDt/Dt,Document/BkToCstmrDbtCdtNtfctn/Ntfctn/Ntry/ValDt,Dt,ISODate,0,unbounded,False,choice-30
camt.054.001.08,Document/BkToCstmrDbtCdtNtfctn/Ntfctn/Ntry/Amt,Document/BkToCstmrDbtCdtNtfctn/Ntfctn/Ntry,Amt,ActiveOrHistoricCurrencyAndAmount,0,unbounded,False,
camt.054.001.08,Document/BkToCstmrDbtCdtNtfctn/Ntfctn/Ntry/Amt/@Ccy,Document/BkToCstmrDbtCdtNtfctn/Ntfctn/Ntry/Amt,@Ccy,ActiveOrHistoricCurrencyCode,1,1,True,
camt.054.001.08,Document/BkToCstmrDbtCdtNtfctn/Ntfctn/Ntry/CdtDbtInd,Document/BkToCstmrDbtCdtNtfctn/Ntfctn/Ntry,CdtDbtInd,CreditDebitCode,0,unbounded,False,
camt.054.001.08,Document/BkToCstmrDbtCdtNtfctn/Ntfctn/Ntry/NtryDtls/TxDtls/RltdPties/Dbtr/Pty/Nm,Document/BkToCstmrDbtCdtNtfctn/Ntfctn/Ntry/NtryDtls/TxDtls/RltdPties/Dbtr/Pty,Nm,Max140Text,0,unbounded,False,
camt.054.001.08,Document/BkToCstmrDbtCdtNtfctn/Ntfctn/Ntry/NtryDtls/TxDtls/RltdPties/Dbtr/Pty/PstlAdr/AdrLine,Document/BkToCstmrDbtCdtNtfctn/Ntfctn/Ntry/NtryDtls/TxDtls/RltdPties/Dbtr/Pty/PstlAdr,AdrLine,Max70Text,0,unbounded,False,
camt.054.001.08,Document/BkToCstmrDbtCdtNtfctn/Ntfctn/Ntry/NtryDtls/TxDtls/RltdPties/Dbtr/Pty/Id/OrgId/AnyBIC,Document/BkToCstmrDbtCdtNtfctn/Ntfctn/Ntry/NtryDtls/TxDtls/RltdPties/Dbtr/Pty/Id/OrgId,AnyBIC,AnyBICDec2014Identifier,0,unbounded,False,
camt.054.001.08,Document/BkToCstmrDbtCdtNtfctn/Ntfctn/Ntry/NtryDtls/TxDtls/RltdPties/DbtrAcct/Id/IBAN,Document/BkToCstmrDbtCdtNtfctn/Ntfctn/Ntry/NtryDtls/TxDtls/RltdPties/DbtrAcct/Id,IBAN,IBAN2007Identifier,0,unbounded,False,choice-73
camt.054.001.08,Document/BkToCstmrDbtCdtNtfctn/Ntfctn/Ntry/NtryDtls/TxDtls/RltdPties/DbtrAcct/Id/Othr/Id,Document/BkToCstmrDbtCdtNtfctn/Ntfctn/Ntry/NtryDtls/TxDtls/RltdPties/DbtrAcct/Id/Othr,Id,Max34Text,0,unbounded,False,
camt.054.001.08,Document/BkToCstmrDbtCdtNtfctn/Ntfctn/Ntry/NtryDtls/TxDtls/RltdAgts/DbtrAgt/FinInstnId/BICFI,Document/BkToCstmrDbtCdtNtfctn/Ntfctn/Ntry/NtryDtls/TxDtls/RltdAgts/DbtrAgt/FinInstnId,BICFI,BICFIDec2014Identifier,0,unbounded,False,
camt.054.001.08,Document/BkToCstmrDbtCdtNtfctn/Ntfctn/Ntry/NtryDtls/TxDtls/RltdAgts/DbtrAgt/FinInstnId/ClrSysMmbId/MmbId,Document/BkToCstmrDbtCdtNtfctn/Ntfctn/Ntry/NtryDtls/TxDtls/RltdAgts/DbtrAgt/FinInstnId/ClrSysMmbId,MmbId,Max35Text,0,unbounded,False,
camt.054.001.08,Document/BkToCstmrDbtCdtNtfctn/Ntfctn/Ntry/NtryDtls/TxDtls/RltdAgts/DbtrAgt/FinInstnId/Nm,Document/BkToCstmrDbtCdtNtfctn/Ntfctn/Ntry/NtryDtls/TxDtls/RltdAgts/DbtrAgt/FinInstnId,Nm,Max140Text,0,unbounded,False,
